법인등록번호,회사명,종목코드,KSIC,A대분류,A세분류,B1주업종,B1_2단,B1_3단,밸류체인,가치사슬단계,묶음노드,모수계층,매출액,매출기준,종업원수,상장,출처,기업집단명들
1101116890043,(주)해라즈인베스터,,K64209,서비스,금융,자산운용업,,,금융,,,T1u,,,,,DART(비상장),
1355110282950,(주)명륜기공,,C25929,제조,부품제조,금속,금속가공,,,3,,T1u,,,,,DART(비상장),
1101140036301,티월드제일백일십이차유동화전문 유한회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1345140018566,유한회사 델파이 ,,L68,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1701110001925,주식회사 삼성제침,,C2599,제조,부품제조,금속,금속가공,,,3,,T1u,,,,,DART(비상장),
1101117847556,주식회사 선상,,G47430,유통,소매,의류·패션,,,최종소비재,,,T1u,,,,,DART(비상장),
1501110233093,(주)상지피앤디,,L681,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1501110285523,주식회사 센트럴세종,,S96991,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
1345110476554,주식회사 평택고덕피에프브이,,L68121,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1801111525592,주식회사 조은골프,,R91136,서비스,시설·자산운영,레저·숙박·스포츠,,,,,,T1u,,,,,DART(비상장),
1601110568844,주식회사스마트블루,,L68224,서비스,플랫폼·중개,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101119043384,주식회사 투게더충정로오피스제7호위탁관리부동산투자회사,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101118346060,주식회사 오움,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1314140011044,유한회사 시아테마,,G47129,유통,소매,다품목·범용,,,최종소비재,,,T1u,,,,,DART(비상장),
1142380000480,통조림가공수산업협동조합,,K64131,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101111722655,(주)카메오,,C15211,제조,완제품제조,의류·패션,,,최종소비재,4,,T1u,,,,,DART(비상장),
1101140353885,롱리치하나제일차유한회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101119099543,아우라제일차주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101119132799,블루가든제일차주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101117908663,프레스티지제십사차주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101118883062,더퍼스트레드주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101110918794,키스에스에프제삼십팔차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1101115215888,포트리스이노베이션 주식회사,,J58222,서비스,콘텐츠·SW,소프트웨어·IT,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1101112706046,제이에스알 마이크로 코리아㈜,,C2049,제조,소재제조,화학·소재,정밀·기능화학,,,2,,T1u,,,,,DART(비상장),
1101114615253,수도권개발(주),,N75,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
2058110019691,영백풍력태양광발전(주),,D35115,서비스,시설·자산운영,에너지·자원·환경,,,신재생에너지,,,T1u,,,,,DART(비상장),
2101110035800,주식회사 리퓨터,,C26310,제조,부품제조,전자·정밀,전자기기·모듈,,,3,,T1u,,,,,DART(비상장),
1511110032486,(주)중부이엔지,,C28111,제조,완제품제조,기계·운송기기,전력·중전기,,,4,,T1u,,,,,DART(비상장),
1601110428501,주식회사 닥터스클럽,,M71531,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1701110435207,(주)에스에이치,,E38220,서비스,시설·자산운영,에너지·자원·환경,,,신재생에너지,,,T1u,,,,,DART(비상장),
2301110316131,(주)대현텍,,C30399,제조,부품제조,기계·운송기기,완성차·부품,,자동차,3,,T1u,,,,,DART(비상장),
1346110063557,그린가드 주식회사,,C22231,제조,완제품제조,화학·소재,제지·포장,,,4,,T1u,,,,,DART(비상장),
1615110206627,주식회사 온누리메디케어,,G46800,유통,도매·상사,다품목·범용,,,,,,T1u,,,,,DART(비상장),
1101114418839,넵스키개발주식회사,,L68121,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101119154008,제이피트러스트 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1101117387263,바리코퍼레이션 주식회사,,J58222,서비스,콘텐츠·SW,소프트웨어·IT,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1348110607278,지디알주식회사,,C222,제조,소재제조,화학·소재,플라스틱제품,,,2,,T1u,,,,,DART(비상장),
1101118327573,주식회사 원재코리아,,F41225,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1201111325704,주식회사 수아,,L68122,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1201110656605,(주)선봉식품,,C10709,제조,완제품제조,식품·음료,,,농식품,4,,T1u,,,,,DART(비상장),
1101116964509,반얀로지스틱스(주),,H52992,서비스,운송·보관,창고·물류,,,유통·물류,,,T1u,,,,,DART(비상장),
1101140344305,유한회사 코리아1호투자목적회사,,K64209,서비스,금융,자산운용업,,,금융,,,T1u,,,,,DART(비상장),
1101114791392,(주)메이플엘에스,,C22299,제조,소재제조,화학·소재,플라스틱제품,,,2,,T1u,,,,,DART(비상장),
