단위,모법인,이름,A세분류,B1주업종,B1_2단,매출,판정근거
법인,,동부티에스블랙펄기업인수목적(주),금융,결제·핀테크,,,KSIC
법인,,(주)블루젬디앤씨,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,부국퓨쳐스타즈기업인수목적주식회사,금융,은행업,,,KSIC
법인,,(주)예당컴퍼니,콘텐츠·SW,음악·공연·엔터,,,KSIC
법인,,(주)터보테크,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,케이비물산(주),완제품제조,의류·패션,,,KSIC
법인,,글로스텍(주),부품제조,전자·정밀,반도체·소자,,KSIC
법인,,코리아퍼시픽06호 선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)나노트로닉스,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,미래에셋제1호기업인수목적(주),금융,결제·핀테크,,,KSIC
법인,,(주)에이원마이크로,완제품제조,의류·패션,,,KSIC
법인,,(주)에이프로테크놀로지,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)모린스,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)디지텍시스템스,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)배명금속,소재제조,금속,철강,,KSIC
법인,,동북아4호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,(주)사라콤,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)폴리플러스,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)영찬테크,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)케이비부국제1호개발전문위탁관리부동산투자회사,시설·자산운영,부동산·임대,,,KSIC
법인,,아시아퍼시픽8호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,진흥저축은행(주),금융,은행업,,,KSIC
법인,,(주)에듀언스,인적서비스,교육,,,KSIC
법인,,(주)샤인시스템,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)씨모텍,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)에스컴,시설·자산운영,부동산·임대,,,KSIC
법인,,아시아퍼시픽1호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
