기업집단명,소속회사명,법인등록번호,KSIC,영위업종,종업원수,매출액,기업공개일,A세분류,A대분류,B1주업종,B1_2단,묶음노드,모수계층,판정근거
지에스,(유)가승개발,1345140003989,R9112,골프장 및 스키장 운영업,3,0,,,,,,,모수밖,매출 0
카카오,(유)가승개발,1345140003989,R9112,골프장 및 스키장 운영업,3,0,,,,,,,모수밖,매출 0
오리온,(유)더이로운파트너스,1101140038535,K6499,그 외 기타 금융업,2,0,,,,,,,모수밖,매출 0
효성,(유)로터스원,1101150003008,K6499,그 외 기타 금융업,0,0,,,,,,,모수밖,매출 0
엘에스,(유)문경가온태양광발전,1754140000582,D3511,발전업,1,249,,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
네이버,(유)분필,1311140001688,R9019,기타 창작 및 예술관련 서비스업,1,0,,,,,,,모수밖,매출 0
엘에스,(유)빌드윈인동태양광발전,1760140002014,D3511,발전업,0,453,,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
사조,(유)사조씨피케이,1101140066884,C1052,전분제품 및 당류 제조업,305,"382,827",,완제품제조,제조,식품·음료,,,T2,KSIC C1052
중앙,(유)스튜디오제이앤에스,1101140280278,J5911,"영화, 비디오물 및 방송프로그램 제작업",0,50,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
다우키움,(유)씨엑스케이,1101140036268,J6202,"컴퓨터시스템 통합 자문, 구축 및 관리업",6,170,,인적서비스,서비스,소프트웨어·IT,,,T2,KSIC J6202
하림,(유)엑셀로이콰인알앤디센터,1311140010696,R9113,기타 스포츠시설 운영업,5,"1,612",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9113
영풍,(유)엠와이지,1314140002198,K6499,그 외 기타 금융업,1,0,,,,,,,모수밖,매출 0
한솔,(유)와이에이치에이치홀딩스,1101140350211,K6499,그 외 기타 금융업,1,0,,,,,,,모수밖,매출 0
영풍,(유)와이피씨,1314140001931,K6499,그 외 기타 금융업,1,0,,,,,,,모수밖,매출 0
네이버,(유)이터너리,1101140037375,M7153,경영 컨설팅 및 공공 관계 서비스업,0,0,,,,,,,모수밖,매출 0
네이버,(유)이터비아,1101140037377,M7153,경영 컨설팅 및 공공 관계 서비스업,0,0,,,,,,,모수밖,매출 0
중앙,(유)재벌집막내아들문화산업전문회사,1101140280418,J5911,"영화, 비디오물 및 방송프로그램 제작업",0,711,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
엘에스,(유)전주가온태양광발전,2101140156121,D3511,발전업,1,579,,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
중앙,(유)제이씨엔,1101140205078,J5911,"영화, 비디오물 및 방송프로그램 제작업",0,"1,627",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
중흥건설,(유)제이앤케이에스,1101140342862,L6821,부동산 관리업,0,0,,,,,,,모수밖,매출 0
네이버,(유)지음,1311140003568,M7153,경영 컨설팅 및 공공 관계 서비스업,7,64,,인적서비스,서비스,전문서비스,,,T2,KSIC M7153
토스,(유)티엔에이엠,1101140288230,K6499,그 외 기타 금융업,0,46,,지주·투자,서비스,다품목·범용,,Y,T2,K6499 지주회사
토스,(유)편안한이동1,1101140288371,H4923,부정기 육상 여객 운송업,5,"9,253",,운송·보관,서비스,육상운송,,,T2,KSIC H4923
토스,(유)편안한이동2,1101140304755,H4923,부정기 육상 여객 운송업,5,"9,224",,운송·보관,서비스,육상운송,,,T2,KSIC H4923
태영,(유)해운대미디어플러스,1801140004283,M7139,기타 광고업,1,0,,,,,,,모수밖,매출 0
원익,(유)호라이즌,1101140029981,N7599,그 외 기타 사업지원 서비스업,0,0,,,,,,,모수밖,매출 0
삼천리,(주) 성경식품,1601110398746,C1022,수산식물 가공 및 저장 처리업,10,"131,769",,완제품제조,제조,식품·음료,,,T2,KSIC C1022
삼천리,(주) 성경식품제2공장,1601110472657,C1022,수산식물 가공 및 저장 처리업,0,"2,144",,완제품제조,제조,식품·음료,,,T2,KSIC C1022
지에스,(주)가진에이케이엠,1101119168405,M7153,경영 컨설팅 및 공공 관계 서비스업,0,70,,인적서비스,서비스,전문서비스,,,T2,KSIC M7153
케이티,(주)강남역1307피에프브이,1345110075254,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
DB,(주)강원일보,1401110000246,J5812,"신문, 잡지 및 정기간행물 출판업",146,"26,615",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5812
금호석유화학,(주)강원학교태양광,1401110054920,D3511,발전업,0,"6,886",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
효성,(주)갤럭시아에스엠,1301110008771,R9129,그 외 기타 오락관련 서비스업,59,"40,344",1989/11/14,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9129
다우키움,(주)게티이미지코리아,1101116380549,M7390,"그 외 기타 전문, 과학 및 기술 서비스업",85,"16,330",,인적서비스,서비스,전문서비스,,,T2,KSIC M7390
한화,(주)경기용인테크노밸리,1345110262242,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
지에스,(주)경기평택글로벌,1313110232193,L6812,부동산 개발 및 공급업,2,"61,222",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
하림,(주)경우,1101110633051,G4610,상품 중개업,0,0,,,,,,,모수밖,매출 0
대명화학,(주)고덕어반브릿지피에프브이,1348110685612,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
고려에이치씨,(주)고려에스엠,1801110734889,H5292,수상 운송지원 서비스업,24,"6,941",,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
고려에이치씨,(주)고려에이치씨,1101115031010,K6499,그 외 기타 금융업,7,"137,482",,지주·투자,서비스,다품목·범용,,Y,T2,K6499 지주회사
대명화학,(주)고려에프앤에프,1346110027454,C1083,조미료 및 식품 첨가물 제조업,46,"34,868",,완제품제조,제조,식품·음료,,,T2,KSIC C1083
태광,(주)고려저축은행,1801110015304,K6413,신용조합 및 저축기관,166,"147,618",,금융,서비스,은행업,,,T2,KSIC K6413
엘지,(주)고운누리,1341110575239,G4721,신선식품 및 단순 가공식품 소매업,14,487,,소매,유통,식품·음료,,,T2,KSIC G4721
중흥건설,(주)고촌복합개발자산관리,1244110257172,L6812,부동산 개발 및 공급업,0,6,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
롯데,(주)골든시즈코퍼레이션,1101115974442,M7131,광고 대행업,0,0,,,,,,,모수밖,매출 0
롯데,(주)골든플라넷,1101118657243,L6822,"부동산 중개, 자문 및 감정평가업",0,0,,,,,,,모수밖,매출 0
대명화학,(주)골든피쉬크리에이티브,1101118787727,G4610,상품 중개업,1,535,,도매·상사,유통,다품목·범용,,,T2,KSIC G4610
농협,(주)공영홈쇼핑,1101115657519,G4791,통신 판매업,392,"188,283",,소매,유통,다품목·범용,,,T2,KSIC G4791
케이티앤지,(주)과천상상피에프브이,1101116847896,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
에이치디씨,(주)광명문화복합단지자산관리,1101117427390,L6821,부동산 관리업,2,455,,인적서비스,서비스,부동산·임대,,,T2,KSIC L6821
부영,(주)광영토건,1101110208931,F4111,주거용 건물 건설업,39,"11,946",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
신세계,(주)광주신세계,2001110054795,G4711,대형 종합 소매업,167,"184,211",2002/02/07,소매,유통,다품목·범용,,,T2,KSIC G4711
효성,(주)광주일보사,2011110044612,J5812,"신문, 잡지 및 정기간행물 출판업",86,"6,629",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5812
교보생명보험,(주)교보문고,1101110286058,G4761,서적 및 문구용품 소매업,"1,244","983,470",,소매,유통,레저·숙박·스포츠,,,T2,KSIC G4761
태영,(주)군포복합개발피에프브이,1341110535944,L6812,부동산 개발 및 공급업,0,"273,877",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
원익,(주)굿닥,1101117542065,J5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,44,981,,콘텐츠·SW,서비스,소프트웨어·IT,,,T2,KSIC J5822
한화,(주)그로들,1101118076302,J6399,그 외 기타 정보 서비스업,17,"1,364",,플랫폼·중개,서비스,소프트웨어·IT,,,T2,KSIC J6399
엘에스,(주)그린가스솔루션이앤씨,2841110383508,F4220,건물설비 설치 공사업,42,"24,018",2022/07/01,시공·건설,건설,건설·시공,,,T2,KSIC F4220
엘엑스,(주)그린누리,2301110286144,N7421,건물 및 산업설비 청소업,100,"4,940",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7421
호반,(주)그린산업,1649110021462,S9691,세탁업,24,"1,557",,인적서비스,서비스,사업지원서비스,,,T2,KSIC S9691
네이버,(주)그린웹서비스,1311110246536,J6312,포털 및 기타 인터넷 정보매개 서비스업,618,"51,193",,플랫폼·중개,서비스,소프트웨어·IT,,,T2,KSIC J6312
롯데,(주)그린카,1101114236520,N7611,자동차 임대업,145,"73,196",,시설·자산운영,서비스,기계·운송기기,완성차·부품,,T2,KSIC N7611
삼천리,(주)그린텍남양,1301110125152,E3832,"비금속류 해체, 선별 및 원료 재생업",0,0,,,,,,,모수밖,매출 0
아모레퍼시픽,(주)그린파트너즈,1101116925171,N7599,그 외 기타 사업지원 서비스업,163,"9,124",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
하림,(주)글라이드,1311110558519,G4791,통신 판매업,4,891,,소매,유통,다품목·범용,,,T2,KSIC G4791
카카오,(주)글라인,1101115740645,R9019,기타 창작 및 예술관련 서비스업,6,"5,646",,인적서비스,서비스,음악·공연·엔터,,,T2,KSIC R9019
카카오,(주)글앤그림미디어,1101116278364,J5911,"영화, 비디오물 및 방송프로그램 제작업",12,20,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
케이씨씨,(주)금강레저,1312110001433,R9112,골프장 및 스키장 운영업,37,"17,080",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9112
코오롱,(주)기브릿지,1101118321517,J6202,"컴퓨터시스템 통합 자문, 구축 및 관리업",2,35,,인적서비스,서비스,소프트웨어·IT,,,T2,KSIC J6202
씨제이,(주)길픽쳐스,1101116404828,J5911,"영화, 비디오물 및 방송프로그램 제작업",6,0,,,,,,,모수밖,매출 0
한화,(주)김해테크노밸리,1955110120447,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
원익,(주)나노이닉스,1101112309840,C2049,그 외 기타 화학제품 제조업,28,"5,152",,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2049
엘지,(주)나눔누리,1760110075546,N7421,건물 및 산업설비 청소업,635,"28,378",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7421
호반,(주)나우뉴스,1101119096218,J6391,뉴스 제공업,0,0,,,,,,,모수밖,매출 0
크래프톤,(주)나인비스튜디오,1101110932758,J5821,게임 소프트웨어 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
대명화학,(주)나잇나잇,1311110076513,G4721,신선식품 및 단순 가공식품 소매업,0,159,,소매,유통,식품·음료,,,T2,KSIC G4721
SM,(주)나진,1101118095964,L6812,부동산 개발 및 공급업,0,9,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
중흥건설,(주)남도일보,2001110223895,J5812,"신문, 잡지 및 정기간행물 출판업",57,"4,509",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5812
씨제이,(주)남부공원,1101117158391,J5911,"영화, 비디오물 및 방송프로그램 제작업",0,162,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
SM,(주)남선알미늄,1701110005042,C2422,"비철금속 압연, 압출 및 연신제품 제조업",514,"257,676",1978/05/22,소재제조,제조,금속,비철금속,,T2,KSIC C2422
SM,(주)남선홀딩스,1701110706393,M7390,"그 외 기타 전문, 과학 및 기술 서비스업",0,"5,781",,인적서비스,서비스,전문서비스,,,T2,KSIC M7390
부영,(주)남양개발,1152110020144,F4111,주거용 건물 건설업,4,0,,,,,,,모수밖,매출 0
효성,(주)남영자동차매매상사,1101112516487,L6811,부동산 임대업,1,490,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
넥슨,(주)네오플,1101112207268,J5821,게임 소프트웨어 개발 및 공급업,"1,522","1,072,672",,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
롯데,(주)네이처페이지,2844110136985,G4649,"가방, 시계, 안경 및 기타 생활용품 도매업",0,2,,도매·상사,유통,생활용품·가구,,,T2,KSIC G4649
씨제이,(주)넥스트씬,1101117946910,J5911,"영화, 비디오물 및 방송프로그램 제작업",2,220,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
한국콜마,(주)넥스트앤바이오,1101116940749,M7011,자연과학 연구개발업,30,"1,116",,인적서비스,서비스,의약·바이오,,,T2,KSIC M7011
엘에스,(주)넥스포쏠라,1311110493434,D3511,발전업,1,"1,575",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
엘에스,(주)넥스포에너지,1311110493426,D3511,발전업,1,"1,711",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
넥슨,(주)넥슨게임즈,1101115781277,J5821,게임 소프트웨어 개발 및 공급업,"1,729","174,437",2015/09/25,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
넥슨,(주)넥슨네트웍스,1101111122392,N7599,그 외 기타 사업지원 서비스업,543,"66,392",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
넥슨,(주)넥슨스페이스,1311110349249,N7410,사업시설 유지․관리 서비스업,48,"34,505",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7410
넥슨,(주)넥슨에이치큐,1311110078075,M7153,경영 컨설팅 및 공공 관계 서비스업,60,0,,,,,,,모수밖,매출 0
넥슨,(주)넥슨유니버스,1311110689504,J5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,88,"3,533",,콘텐츠·SW,서비스,소프트웨어·IT,,,T2,KSIC J5822
넥슨,(주)넥슨커뮤니케이션즈,1801110777483,N7599,그 외 기타 사업지원 서비스업,76,"6,666",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
넥슨,(주)넥슨코리아,1101113320241,J5821,게임 소프트웨어 개발 및 공급업,"4,416","3,105,882",,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
크래프톤,(주)넵튠,1101115671171,J5821,게임 소프트웨어 개발 및 공급업,128,"30,182",2016/12/14,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
농심,(주)농심,1101110057574,C1082,"면류, 마카로니 및 유사식품 제조업","5,558","2,734,714",1976/06/30,완제품제조,제조,식품·음료,,,T2,KSIC C1082
농심,(주)농심미분,1648110051396,C1051,곡물 가공품 제조업,38,"18,256",,완제품제조,제조,식품·음료,,,T2,KSIC C1051
농심,(주)농심캐피탈,1801110607482,K6491,여신금융업,19,"41,311",,금융,서비스,여신전문금융업,,,T2,KSIC K6491
농심,(주)농심홀딩스,1101112819005,K6499,그 외 기타 금융업,13,"31,721",2003/07/30,지주·투자,서비스,다품목·범용,,Y,T2,K6499 지주회사
농협,(주)농협네트웍스,1101110753750,F4112,비주거용 건물 건설업,311,"530,654",,시공·건설,건설,건설·시공,,,T2,KSIC F4112
농협,(주)농협목우촌,1101113499567,C1012,육류 가공 및 저장 처리업,457,"688,540",,완제품제조,제조,식품·음료,,,T2,KSIC C1012
농협,(주)농협물류,1101113045039,H4930,도로 화물 운송업,282,"604,493",,운송·보관,서비스,육상운송,,,T2,KSIC H4930
농협,(주)농협사료,1101112600313,C1090,동물용 사료 및 조제식품 제조업,778,"1,771,315",,완제품제조,제조,식품·음료,,,T2,KSIC C1090
농협,(주)농협유통,1101111141566,G4711,대형 종합 소매업,"2,255","1,394,445",,소매,유통,다품목·범용,,,T2,KSIC G4711
농협,(주)농협정보시스템,1101113455527,J6201,컴퓨터 프로그래밍 서비스업,625,"327,980",,인적서비스,서비스,소프트웨어·IT,,,T2,KSIC J6201
농협,(주)농협케미컬,1101110005812,C2032,살균․살충제 및 농약 제조업,435,"238,494",,완제품제조,제조,화학·소재,농화학,,T2,KSIC C2032
농협,(주)농협파트너스,1101112126351,N7512,인력 공급업,"6,263","257,392",,인적서비스,서비스,고용·인력,,,T2,KSIC N7512
농협,(주)농협하나로유통,1101115653666,G4711,대형 종합 소매업,"1,887","1,180,411",,소매,유통,다품목·범용,,,T2,KSIC G4711
농협,(주)농협홍삼,1544110011077,C1089,기타 식료품 제조업,69,"62,840",,완제품제조,제조,식품·음료,,,T2,KSIC C1089
오케이금융그룹,(주)뉴데이즈,1101110989222,J5911,"영화, 비디오물 및 방송프로그램 제작업",0,126,,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5911
대명화학,(주)니티드,1801111119668,G4741,의복 소매업,10,"4,522",,소매,유통,의류·패션,,,T2,KSIC G4741
크래프톤,(주)님블뉴런,1311110338755,J5821,게임 소프트웨어 개발 및 공급업,130,"26,022",,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
씨제이,(주)다다엠앤씨,1101117706877,G4680,상품 종합 도매업,0,0,,,,,,,모수밖,매출 0
중앙,(주)다보중앙,1101113847097,M7153,경영 컨설팅 및 공공 관계 서비스업,0,"5,314",,인적서비스,서비스,전문서비스,,,T2,KSIC M7153
카카오,(주)다온크리에이티브,1101115485746,J5819,기타 인쇄물 출판업,81,"23,601",,콘텐츠·SW,서비스,미디어·광고·영상,,,T2,KSIC J5819
신영,(주)다올데이터센터1호피에프브이,1501110326616,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
다우키움,(주)다우기술,1101110414758,J6312,포털 및 기타 인터넷 정보매개 서비스업,753,"357,361",1997/08/27,플랫폼·중개,서비스,소프트웨어·IT,,,T2,KSIC J6312
다우키움,(주)다우데이타,1101110863484,G4651,"컴퓨터 및 주변장치, 소프트웨어 도매업",233,"238,352",1999/12/21,도매·상사,유통,전자·정밀,,,T2,KSIC G4651
중흥건설,(주)다원개발,2001110335682,L6812,부동산 개발 및 공급업,5,0,,,,,,,모수밖,매출 0
DN,(주)다현테크,1942110177081,C2922,가공 공작기계 제조업,41,"13,605",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2922
원익,(주)단양사계절리조트,1546110016172,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
대광,(주)대광건설,2001110044704,L6812,부동산 개발 및 공급업,4,1,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
대광,(주)대광건영,2001110160633,F4111,주거용 건물 건설업,338,"728,180",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
대광,(주)대광에이엠씨,1358110222786,L6812,부동산 개발 및 공급업,10,"4,634",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
대광,(주)대광이엔씨,1358110085340,F4111,주거용 건물 건설업,7,"5,333",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
신영,(주)대농,1101110138572,C1310,방적 및 가공사 제조업,30,"45,340",,소재제조,제조,의류·패션,,,T2,KSIC C1310
신영,(주)대농어패럴,1101118468640,C1419,기타 봉제의복 제조업,44,"81,685",,완제품제조,제조,의류·패션,,,T2,KSIC C1419
신영,(주)대농텍스타일,1101113878266,C1330,편조원단 제조업,32,"41,753",,소재제조,제조,의류·패션,,,T2,KSIC C1330
DL,(주)대림,1101111081093,G4673,화학물질 및 화학제품 도매업,450,"1,445,010",,도매·상사,유통,화학·소재,,,T2,KSIC G4673
소노인터내셔널,(주)대명건설,1452110031195,F4111,주거용 건물 건설업,145,"280,662",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
대명화학,(주)대명화학,1101111898159,M7153,경영 컨설팅 및 공공 관계 서비스업,114,"118,512",,인적서비스,서비스,전문서비스,,,T2,KSIC M7153
대신,(주)대신경제연구소,1101110381626,M7160,기타 전문 서비스업,45,"5,823",,인적서비스,서비스,전문서비스,,,T2,KSIC M7160
대신,(주)대신저축은행,1101114663426,K6413,신용조합 및 저축기관,175,"135,309",,금융,서비스,은행업,,,T2,KSIC K6413
BS,(주)대신피플앤피플,1101115706259,L6821,부동산 관리업,1,0,,,,,,,모수밖,매출 0
중흥건설,(주)대우건설,1101112137895,F4111,주거용 건물 건설업,"5,248","7,168,595",2001/03/23,시공·건설,건설,건설·시공,,,T2,KSIC F4111
중흥건설,(주)대우에스티,1543110016706,F4213,"철골, 철근 및 콘크리트 공사업",695,"336,067",,시공·건설,건설,건설·시공,,,T2,KSIC F4213
대방건설,(주)대일시스템,2001110198361,G4731,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",1,563,,소매,유통,전자·정밀,전자기기·모듈,,T2,KSIC G4731
DL,(주)대전문화피에프브이,1101117975240,L6811,부동산 임대업,1,"4,458",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
신세계,(주)대전신세계,1601110424864,G4711,대형 종합 소매업,153,"192,529",,소매,유통,다품목·범용,,,T2,KSIC G4711
한화,(주)대전역세권개발피에프브이,1244110284620,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
농심,(주)대주실업,1801110007103,H4930,도로 화물 운송업,3,"2,728",,운송·보관,서비스,육상운송,,,T2,KSIC H4930
에스케이,(주)대한송유관공사,1101110671522,H4950,파이프라인 운송업,346,"203,080",,운송·보관,서비스,육상운송,,,T2,KSIC H4950
대광,(주)대한저축은행,2001110000764,K6413,신용조합 및 저축기관,37,"39,075",,금융,서비스,은행업,,,T2,KSIC K6413
한진,(주)대한항공,1101110108484,H5110,항공 여객 운송업,"18,910","16,501,852",1966/03/18,운송·보관,서비스,항공운송,,,T2,KSIC H5110
롯데,(주)대홍기획,1101116707800,M7131,광고 대행업,414,"274,326",,인적서비스,서비스,미디어·광고·영상,,,T2,KSIC M7131
대명화학,(주)더금융서비스,1101118991865,K6620,보험 및 연금관련 서비스업,27,"56,320",,금융,서비스,보험업,,,T2,KSIC K6620
라인,(주)더블에셋자기관리부동산투자회사,1101114596528,L6812,부동산 개발 및 공급업,0,253,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
반도홀딩스,(주)더블유앤파트너스,1101115419828,G4791,통신 판매업,1,1,,소매,유통,다품목·범용,,,T2,KSIC G4791
일진글로벌,(주)더블유엔제이홀딩스,1101118988622,L6811,부동산 임대업,0,0,,,,,,,모수밖,매출 0
대명화학,(주)더블유엠엠스튜디오스,1101117980570,C1419,기타 봉제의복 제조업,2,598,,완제품제조,제조,의류·패션,,,T2,KSIC C1419
웅진,(주)더블유제이노체앤코,1101113843673,S9699,그 외 기타 분류 안된 개인 서비스업,101,"51,923",,인적서비스,서비스,사업지원서비스,,,T2,KSIC S9699
웅진,(주)더블유제이라이프,1101110924373,N7599,그 외 기타 사업지원 서비스업,1,"23,748",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
웅진,(주)더블유제이라이프홀딩스,1101110923669,N7599,그 외 기타 사업지원 서비스업,1,0,,,,,,,모수밖,매출 0
신세계,(주)더블유컨셉코리아,1101113979006,G4791,통신 판매업,230,"118,915",,소매,유통,다품목·범용,,,T2,KSIC G4791
라인,(주)더블저축은행,2042110000247,K6413,신용조합 및 저축기관,0,"33,367",,금융,서비스,은행업,,,T2,KSIC K6413
라인,(주)더블캐피탈,1101118334081,K6491,여신금융업,10,"2,143",,금융,서비스,여신전문금융업,,,T2,KSIC K6491
라인,(주)더블파이낸스대부,2001110261952,K6491,여신금융업,0,239,,금융,서비스,여신전문금융업,,,T2,KSIC K6491
케이티,(주)더스카이케이,1101117842796,J6022,"유선, 위성 및 기타 방송업",15,"11,004",,시설·자산운영,서비스,미디어·광고·영상,,,T2,KSIC J6022
라인,(주)더원건설,2001110362320,F4111,주거용 건물 건설업,1,0,,,,,,,모수밖,매출 0
반도홀딩스,(주)더유니콘,1801110624428,F4112,비주거용 건물 건설업,3,"1,996",,시공·건설,건설,건설·시공,,,T2,KSIC F4112
한국교직원공제회,(주)더케이구조화제1호위탁관리부동산투자회사,1101119024102,L6811,부동산 임대업,2,"22,077",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
부영,(주)더클래식씨씨,2201110044099,R9112,골프장 및 스키장 운영업,29,"4,337",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9112
사조,(주)더프라자,1101116194528,J5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,56,"4,354",,콘텐츠·SW,서비스,소프트웨어·IT,,,T2,KSIC J5822
현대백화점,(주)더현대광주,2001110717195,G4711,대형 종합 소매업,0,0,,,,,,,모수밖,매출 0
대광,(주)덕원이앤씨,1311110360948,L6812,부동산 개발 및 공급업,10,"66,880",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
넥슨,(주)데브캣,1101117586039,J5821,게임 소프트웨어 개발 및 공급업,267,"120,069",,콘텐츠·SW,서비스,게임,,,T2,KSIC J5821
에코프로,(주)데이지파트너스,1101112293035,J6399,그 외 기타 정보 서비스업,3,"5,880",,플랫폼·중개,서비스,소프트웨어·IT,,,T2,KSIC J6399
엘지,(주)데이콤크로싱,1101112234683,J6121,유선 통신업,18,"44,019",,시설·자산운영,서비스,통신·네트워크,,,T2,KSIC J6121
라인,(주)도시개발에덴,1311110651214,L6812,부동산 개발 및 공급업,0,0,,,,,,,모수밖,매출 0
카카오,(주)돌고래유괴단,1101115652303,M7131,광고 대행업,40,"16,731",,인적서비스,서비스,미디어·광고·영상,,,T2,KSIC M7131
부영,(주)동광주택,1101114251932,F4111,주거용 건물 건설업,130,"25,353",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
유진,(주)동림,1746110002309,E3832,"비금속류 해체, 선별 및 원료 재생업",2,0,,,,,,,모수밖,매출 0
하림,(주)동림,2149110025554,F4112,비주거용 건물 건설업,16,"18,421",,시공·건설,건설,건설·시공,,,T2,KSIC F4112
유진,(주)동양,1101110005333,C2332,"콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",483,"534,843",1976/06/25,소재제조,제조,화학·소재,건축소재,,T2,KSIC C2332
라인,(주)동양가평개발,2001110727996,F4111,주거용 건물 건설업,0,0,,,,,,,모수밖,매출 0
라인,(주)동양개발산업,2001110376652,L6812,부동산 개발 및 공급업,8,825,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
라인,(주)동양건설산업,1101110004038,F4111,주거용 건물 건설업,231,"156,697",,시공·건설,건설,건설·시공,,,T2,KSIC F4111
라인,(주)동양건축사사무소,2001110184576,M7211,건축 및 조경 설계 서비스업,1,442,,인적서비스,서비스,전문서비스,,,T2,KSIC M7211
라인,(주)동양관광레저,1650110061556,R9112,골프장 및 스키장 운영업,5,"19,542",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9112
라인,(주)동양동탄주택,2001110473713,F4111,주거용 건물 건설업,9,84,,시공·건설,건설,건설·시공,,,T2,KSIC F4111
삼표,(주)동양시멘트,1446110021131,C2331,"시멘트, 석회 및 플라스터 제조업",0,0,,,,,,,모수밖,매출 0
라인,(주)동양에너지,1313110069851,D3511,발전업,8,"3,877",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
유진,(주)동양에너지,1101114835794,D3511,발전업,0,0,,,,,,,모수밖,매출 0
라인,(주)동양엘앤씨,1101117071824,F4249,기타 건축마무리 공사업,0,0,,,,,,,모수밖,매출 0
라인,(주)동양이노텍,2001110361067,L6811,부동산 임대업,10,"3,940",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
라인,(주)동양주택개발,2001110410004,L6812,부동산 개발 및 공급업,10,10,,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
