기업집단명,소속회사명,법인등록번호,KSIC,영위업종,종업원수,매출액,기업공개일,A세분류,A대분류,B1주업종,B1_2단,묶음노드,모수계층,판정근거
다우키움,한국전력우리스프랏글로벌해외자원개발제3차(유),1101140210499,K6420,신탁업 및 집합투자업,0,1,,금융,서비스,자산운용업,,,T2,KSIC K6420
다우키움,한국정보인증(주),1101111727332,J5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,146,"86,610",2014/02/04,콘텐츠·SW,서비스,소프트웨어·IT,,,T2,KSIC J5822
한국지엠,한국지엠(주),1201110294124,C3012,자동차 제조업,"8,088","12,612,866",,완제품제조,제조,기계·운송기기,완성차·부품,,T2,KSIC C3012
한국앤컴퍼니그룹(舊 한국타이어),한국카앤라이프(주),1101116317782,G4521,자동차 신품 부품 및 내장품 판매업,0,142,,도매·상사,유통,기계·운송기기,완성차·부품,,T2,KSIC G4521
한국콜마,한국콜마(주),1647110030756,C2049,그 외 기타 화학제품 제조업,"1,366","1,192,752",2012/10/19,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2049
한국앤컴퍼니그룹(舊 한국타이어),한국타이어앤테크놀로지(주),1101114952093,C2211,고무 타이어 및 튜브 제조업,"6,493","3,648,438",2012/10/04,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2211
롯데,한국포렌식(주),1101116612439,C2811,"전동기, 발전기 및 전기 변환장치 제조업",0,0,,,,,,,모수밖,매출 0
포스코,한국퓨얼셀(주),1717110150638,N7410,사업시설 유지․관리 서비스업,58,"9,864",,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7410
한국항공우주산업,한국항공서비스(주),1954110035185,H5293,항공 운송지원 서비스업,445,"77,602",,운송·보관,서비스,창고·물류,,,T2,KSIC H5293
한국항공우주산업,한국항공우주산업(주),1101111827570,C3131,"항공기, 우주선 및 보조장치 제조업","5,353","3,625,239",2011/06/30,완제품제조,제조,기계·운송기기,항공·우주·방산,,T2,KSIC C3131
롯데,한국후지필름(주),1101116707214,G4673,화학물질 및 화학제품 도매업,124,"80,734",,도매·상사,유통,화학·소재,,,T2,KSIC G4673
SM,한덕철광산업(주),1449110003109,B0610,철 광업,141,"55,324",,자원채취,자원,에너지·자원·환경,,,T2,KSIC B0610
롯데,한덕화학(주),1101111144388,C2011,기초 유기 화학물질 제조업,39,"130,380",,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2011
장금상선,한로해운(주),1101111060196,H5299,그 외 기타 운송관련 서비스업,3,342,,운송·보관,서비스,창고·물류,,,T2,KSIC H5299
현대백화점,한무쇼핑(주),1101110525795,G4711,대형 종합 소매업,655,"642,177",,소매,유통,다품목·범용,,,T2,KSIC G4711
한솔,한솔로지스유(주),1101118201496,H5294,화물 취급업,163,"144,719",,운송·보관,서비스,창고·물류,,,T2,KSIC H5294
한솔,한솔로지스틱스(주),1101110150659,H5294,화물 취급업,264,"389,016",1989/11/13,운송·보관,서비스,창고·물류,,,T2,KSIC H5294
한솔,한솔아이원스(주),1348110109828,C2927,반도체 및 디스플레이 제조용 기계 제조업,753,"198,830",2013/02/07,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2927
한솔,한솔에너지온(주),1501110039744,C2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0,,,,,,,모수밖,매출 0
한솔,한솔에코패키징(주),1801110411221,C1722,"종이포대, 판지상자 및 종이용기 제조업",160,"44,225",,소재제조,제조,화학·소재,제지·포장,,T2,KSIC C1722
한솔,한솔제지(주),1101115604700,C1710,"펄프, 종이 및 판지 제조업","1,714","2,169,056",2015/01/26,소재제조,제조,화학·소재,제지·포장,,T2,KSIC C1710
한솔,한솔테크닉스(주),1101110004682,C2629,기타 전자부품 제조업,526,"549,744",1988/07/06,부품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2629
