고유번호,법인등록번호,회사명,최대주주연도,출자연도,오류
00165343,1101110030413,(주)혜인,2025,2025,
00148595,1746110001179,(주)제일테크노스,2025,2025,
00258689,1101111264764,(주)제이와이피엔터테인먼트,2025,2025,
01117422,2001110214745,(주)나눔테크,2025,2025,
00162993,1101110040165,한일홀딩스(주),2025,2025,
00800145,1101114264828,(주)서진오토모티브,2025,2025,
00411385,1101112023185,(주)유비쿼스홀딩스,2025,2025,
00660291,1301110056407,옵티시스(주),2025,2025,
01124653,1311110433589,(주)슈프리마,2025,2025,
00332927,1101110554992,(주)제이에스코퍼레이션,2025,2025,
00266952,1101111419517,(주)네오위즈홀딩스,2025,2025,
00398792,1801110396069,SNT모티브(주),2025,2025,
00148920,1801110007088,조광페인트(주),2025,2025,
01170865,1101116168614,(주)네오셈,2025,2025,
00484682,1615110049069,(주)엘오티베큠,2025,2025,
01437292,1101117323259,㈜미래에셋맵스제1호위탁관리부동산투자회사,2025,2025,
00136864,1101110152770,(주)신원,2025,2025,
00155373,1341110002141,(주)풍강,2025,2025,
00137809,1101110028632,(주)신화다이나믹스,2025,2025,
00111193,1801110081389,대양전기공업(주),2025,2025,
00490179,1101111985914,(주)플랜티넷,2025,2025,
01258710,1345110127040,(주)이노메트리,2025,2025,
00220686,1243110031213,(주)에스피지,2025,2025,
00429694,1201110155011,(주)파버나인,2025,2025,
00636656,1101112785355,바이오플러스 주식회사,2025,2025,
00476036,1345110059459,에프엔에스테크(주),2025,2025,
00146269,1101110041717,일신방직(주),2025,2025,
00157539,1101110408305,KB오토시스(주),2025,2025,
00671978,1101111773799,(주)그리티,2025,2025,
00130091,1101110123797,샘표(주),2025,2025,
00138729,1101110006274,아세아제지(주),2025,2025,
00530556,1348110048183,(주)예스티,2025,2025,
00153126,1101110093552,(주)크라운해태홀딩스,2025,2025,
00128661,1101110707674,(주)에스에이엠티,2025,2025,
00641171,1101111887491,(주)인지소프트,2025,2025,
00223434,1101110546006,(주)에프에스티,2025,2025,
00864338,1801110378835,(주)웹스,2025,2025,
01169267,1101116153095,(주)세화피앤씨,2025,2025,
00325112,1349110012243,(주)프로텍,2025,2025,
00925295,1101113580390,(주)에프엔씨엔터테인먼트,2025,2025,
01065785,1101114465111,(주)노브메타파마,2025,2025,
00250997,1101110510415,대정화금(주),2025,2025,
00599957,1101111960437,(주)슈프리마에이치큐,2025,2025,
00860332,1101114566406,(주)메리츠금융지주,2025,2025,
00138297,1942110000183,(주)STX,2025,2025,
00807379,1348110178873,신흥에스이씨(주),2025,2025,
01264234,1358110251222,(주)엘에이티,2025,2025,
00378628,1760110007234,(주)케이에이치바텍,2025,2025,
00897752,1511110031157,(주)천보,2025,2025,
00160621,1101110037427,(주)한국화장품제조,2025,2025,
00363246,1101111600794,우원개발(주),2025,2025,
00539274,1101113280099,대상홀딩스(주),2025,2025,
00145473,1101110361008,(주)이글벳,2025,2025,
01180118,1101115837294,(주)코람코더원위탁관리부동산투자회사,2025,2025,
00575106,1313110055652,씨유테크 주식회사,2025,2025,
01397772,1101116058485,(주)큐라클,2025,2025,
01441611,1311110405166,(주)원티드랩,2025,2025,
